trip_id,sec,lat,lon
1,21300.0,34.2550215,135.3212404
1,21301.0,34.25512401824474,135.32127762873833
1,21302.0,34.25522653648949,135.32131485747666
1,21303.0,34.25532905473423,135.32135208621497
1,21304.0,34.25543157297898,135.3213893149533
1,21305.0,34.25553409122372,135.32142654369164
1,21306.0,34.25563660946847,135.32146377242998
1,21307.0,34.25573912771321,135.32150100116831
1,21308.0,34.25584164595796,135.32153822990662
1,21309.0,34.25594416420271,135.32157545864496
1,21310.0,34.256046682447455,135.3216126873833
1,21311.0,34.2561492006922,135.32164991612163
1,21312.0,34.256251718936944,135.32168714485996
1,21313.0,34.25635423718169,135.32172437359827
1,21314.0,34.256456755426434,135.3217616023366
1,21315.0,34.25655927367118,135.32179883107494
1,21316.0,34.256661791915924,135.32183605981328
1,21317.0,34.25676431016067,135.32187328855161
1,21318.0,34.256866828405414,135.32191051728992
1,21319.0,34.25696934665016,135.32194774602826
1,21320.0,34.257071864894904,135.3219849747666
1,21321.0,34.25717438313965,135.32202220350493
1,21322.0,34.257276901384394,135.32205943224326
1,21323.0,34.25737941962914,135.3220966609816
1,21324.0,34.257481937873884,135.3221338897199
1,21325.0,34.25758321055206,135.3221750484878
1,21326.0,34.2576800170138,135.322230299126
1,21327.0,34.25777682347553,135.32228554976422
1,21328.0,34.257873629937265,135.32234080040243
1,21329.0,34.25796919430103,135.32239877059746
1,21330.0,34.25805937082982,135.32246853738474
1,21331.0,34.258149547358606,135.322538304172
1,21332.0,34.25823972388739,135.32260807095932
1,21333.0,34.25832990041618,135.3226778377466
1,21334.0,34.25841386713164,135.3227581082277
1,21335.0,34.25849756818409,135.322838828069
1,21336.0,34.258581269236544,135.3229195479103
1,21337.0,34.25866184157277,135.32300455358018
1,21338.0,34.25873838170721,135.3230950827059
1,21339.0,34.258814921841655,135.32318561183158
1,21340.0,34.2588914619761,135.32327614095726
1,21341.0,34.258961077027394,135.32337400764436
1,21342.0,34.259025146091865,135.32347775065355
1,21343.0,34.25908921515633,135.32358149366274
1,21344.0,34.259153284220794,135.32368523667193
1,21345.0,34.259217353285266,135.32378897968113
1,21346.0,34.259273136859484,135.32389939115515
1,21347.0,34.259327451776784,135.32401098465783
1,21348.0,34.25938176669408,135.32412257816054
1,21349.0,34.25943400700866,135.32423554266217
1,21350.0,34.25948222495352,135.32435116534242
1,21351.0,34.25953044289838,135.3244667880227
1,21352.0,34.259578660843246,135.32458241070296
1,21353.0,34.25962687878811,135.3246980333832
1,21354.0,34.25967509673298,135.32481365606347
1,21355.0,34.25972331467784,135.32492927874372
1,21356.0,34.2597715326227,135.32504490142398
1,21357.0,34.259819750567566,135.32516052410423
1,21358.0,34.25986796851243,135.32527614678452
1,21359.0,34.259916186457296,135.32539176946477
1,21360.0,34.25996440440216,135.32550739214503
1,21361.0,34.26001262234702,135.32562301482528
1,21362.0,34.260060840291885,135.32573863750554
1,21363.0,34.26010905823675,135.3258542601858
1,21364.0,34.260157276181616,135.32596988286608
1,21365.0,34.260205494126474,135.32608550554633
1,21366.0,34.26025371207134,135.3262011282266
1,21367.0,34.260301930016205,135.32631675090684
1,21368.0,34.26035014796107,135.3264323735871
1,21369.0,34.260398365905935,135.32654799626735
1,21370.0,34.26044658385079,135.3266636189476
1,21371.0,34.26049480179566,135.3267792416279
1,21372.0,34.260543019740524,135.32689486430814
1,21373.0,34.26059123768539,135.3270104869884
1,21374.0,34.260639455630255,135.32712610966865
1,21375.0,34.26068767357511,135.3272417323489
1,21376.0,34.26073589151998,135.32735735502916
1,21377.0,34.26078410946484,135.32747297770945
1,21378.0,34.26083232740971,135.3275886003897
1,21379.0,34.260880545354574,135.32770422306996
1,21380.0,34.26092876329943,135.3278198457502
1,21381.0,34.2609769812443,135.32793546843047
1,21382.0,34.26102519918916,135.32805109111072
1,21383.0,34.26107341713403,135.32816671379098
1,21384.0,34.261121635078894,135.32828233647126
1,21385.0,34.26116985302375,135.32839795915152
1,21386.0,34.26121807096862,135.32851358183177
1,21387.0,34.26126628891348,135.32862920451203
1,21388.0,34.26131450685835,135.32874482719228
1,21389.0,34.26136272480321,135.32886044987254
1,21390.0,34.26140820591703,135.32897766086188
1,21391.0,34.26145250134142,135.32909555996136
1,21392.0,34.2614967967658,135.32921345906087
1,21393.0,34.26153511843855,135.32933427346333
1,21394.0,34.2615708204546,135.32945636630745
1,21395.0,34.26160652247065,135.32957845915158
1,21396.0,34.26163618570567,135.32970262974794
1,21397.0,34.26165891910132,135.32982918468136
1,21398.0,34.261681652496975,135.32995573961475
1,21399.0,34.26170087398226,135.33008308163411
1,21400.0,34.26171710905904,135.33021109296448
1,21401.0,34.26173334413583,135.33033910429486
1,21402.0,34.26174829726914,135.3304673389624
1,21403.0,34.26176256504917,135.33059569303057
1,21404.0,34.261769336266454,135.33072489309384
1,21405.0,34.261774931315635,135.33085422588897
1,21406.0,34.26178052636482,135.33098355868407
1,21407.0,34.26178554912021,135.33111292175786
1,21408.0,34.261789284063774,135.33124235296665
1,21409.0,34.261793019007335,135.33137178417545
1,21410.0,34.26179675395089,135.33150121538424
1,21411.0,34.26180048889445,135.33163064659303
1,21412.0,34.261804223838006,135.33176007780185
1,21413.0,34.26180795878157,135.33188950901064
1,21414.0,34.26181169372513,135.33201894021943
1,21415.0,34.26181542866868,135.33214837142822
1,21416.0,34.261819163612245,135.33227780263704
1,21417.0,34.2618228985558,135.33240723384583
1,21418.0,34.26182663349936,135.33253666505462
1,21419.0,34.26183036844292,135.3326660962634
1,21420.0,34.26183410338648,135.3327955274722
